conference,division,teamTricode
East,Atlantic,BOS
East,Atlantic,NYK
East,Atlantic,PHI
East,Atlantic,BKN
East,Atlantic,TOR
East,Central,CLE
East,Central,IND
East,Central,MIL
East,Central,DET
East,Central,CHI
East,Southeast,ORL
East,Southeast,ATL
East,Southeast,MIA
East,Southeast,CHA
East,Southeast,WAS
West,Northwest,OKC
West,Northwest,DEN
West,Northwest,MIN
West,Northwest,POT
West,Northwest,UTA
West,Pacific,LAL
West,Pacific,LAC
West,Pacific,SAC
West,Pacific,GSW
West,Pacific,PHX
West,Southwest,MEM
West,Southwest,HOU
West,Southwest,DAL
West,Southwest,SAS
West,Southwest,NOP
