,personId,personName,ppg
76,202738,Isaiah Thomas,24.70391061452514
71,202681,Kyrie Irving,23.73643410852713
111,1628369,Jayson Tatum,22.74856046065259
74,202689,Kemba Walker,19.939393939393938
97,204001,Kristaps Porzingis,19.74137931034483
106,1627759,Jaylen Brown,18.351005484460696
4,1718,Paul Pierce,18.238938053097346
2,951,Ray Allen,14.637037037037038
27,201145,Jeff Green,14.582959641255606
107,1627763,Malcolm Brogdon,14.492753623188406
84,203471,Dennis Schroder,14.36734693877551
1,708,Kevin Garnett,13.857142857142858
68,202330,Gordon Hayward,13.777777777777779
75,202694,Marcus Morris Sr.,13.185185185185185
114,1628401,Derrick White,13.097826086956522
81,203109,Jae Crowder,12.627450980392156
61,201950,Jrue Holiday,12.46376811594203
80,203095,Evan Fournier,12.235294117647058
37,202348,Jordan Crawford,11.848484848484848
57,201143,Al Horford,11.257211538461538
28,201175,Glen Davis,11.158536585365853
42,203096,Jared Sullinger,10.736842105263158
36,202340,Avery Bradley,10.610169491525424
22,101138,Brandon Bass,10.544262295081968
