,personName
0,Anderson Varejao
1,Kirk Hinrich
2,Clint Capela
3,Matthew Dellavedova
4,Andrew Bogut
5,LaMarcus Aldridge
6,Ty Lawson
7,Tony Parker
8,Alexis Ajinca
9,Goran Dragic
10,Derrick Rose
11,Jarnell Stokes
12,Kyrie Irving
13,David West
14,Pau Gasol
15,Tyreke Evans
16,Kendrick Perkins
17,Donatas Motiejunas
18,Ryan Anderson
19,Jonathon Simmons
20,Trevor Ariza
21,Toney Douglas
22,Aaron Brooks
23,Omer Asik
24,Patty Mills
25,Chris Bosh
26,Alonzo Gee
27,James Jones
28,Taj Gibson
29,Festus Ezeli
30,Boris Diaw
31,Boban Marjanovic
32,Luol Deng
33,Marreese Speights
34,Kawhi Leonard
35,Klay Thompson
36,Corey Brewer
37,Kyle Anderson
38,Amar'e Stoudemire
39,Jason Terry
40,Cameron Bairstow
41,Dwyane Wade
42,Patrick Beverley
43,Shaun Livingston
44,Jimmy Butler
45,Udonis Haslem
46,Leandro Barbosa
47,Jared Cunningham
48,JR Smith
49,Draymond Green
50,Jason Thompson
51,Terrence Jones
52,Manu Ginobili
53,Dwight Howard
54,Danny Green
55,Tristan Thompson
56,Richard Jefferson
57,E'Twaun Moore
58,Doug McDermott
59,Josh Smith
60,Bobby Portis
61,Anthony Davis
62,Jrue Holiday
63,Brandon Rush
64,Mo Williams
65,Justise Winslow
66,Norris Cole
67,Luke Babbitt
68,Andre Iguodala
69,Cristiano Felicio
70,James Harden
71,Kevin Love
72,Iman Shumpert
73,LeBron James
74,Timofey Mozgov
75,Nikola Mirotic
76,Stephen Curry
77,Beno Udrih
78,Tony Snell
79,Ian Clark
80,Marcus Thornton
81,Dante Cunningham
82,Josh Richardson
83,Gerald Green
