,personId,personName
0,1802,Brad Miller
1,1905,Andrei Kirilenko
2,2545,Darko Milicic
3,2557,Luke Ridnour
4,2742,Sebastian Telfair
5,2755,Kevin Martin
6,101110,Martell Webster
7,101142,Ronny Turiaf
8,101153,Mickael Gelabale
9,101215,Will Conroy
10,200811,Lou Amundson
11,200826,J.J. Barea
12,201147,Corey Brewer
13,201229,Anthony Tolliver
14,201563,Michael Beasley
15,201567,Kevin Love
16,201576,Anthony Randolph
17,201585,Kosta Koufos
18,201593,Nikola Pekovic
19,201601,Luc Mbah a Moute
20,201880,Greg Stiemsma
21,201937,Ricky Rubio
22,201938,Jonny Flynn
23,201961,Wayne Ellington
24,201967,Dante Cunningham
25,201978,Chase Budinger
26,201985,AJ Price
27,202178,Sundiata Gaines
28,202325,Wesley Johnson
29,202351,Lazar Hayward
30,202419,Chris Anthony Johnson
31,202682,Derrick Williams
32,202723,Malcolm Lee
33,203133,Robbie Hummel
34,203144,Alexey Shved
35,203476,Gorgui Dieng
36,203498,Shabazz Muhammad
37,708,Kevin Garnett
38,1889,Andre Miller
39,2037,Jamal Crawford
40,2419,Tayshaun Prince
41,2572,Josh Howard
42,2590,Mo Williams
43,2736,Luol Deng
44,101249,John Lucas III
45,200750,Brandon Roy
46,200772,Maurice Ager
47,201144,Mike Conley
48,201152,Thaddeus Young
49,201166,Aaron Brooks
50,201565,Derrick Rose
51,201573,Jerryd Bayless
52,201575,Brandon Rush
53,201785,Othyus Jeffers
54,201941,Jordan Hill
55,201949,James Johnson
56,201952,Jeff Teague
57,201956,Omri Casspi
58,201959,Taj Gibson
59,201976,Patrick Beverley
60,202323,Evan Turner
61,202328,Greg Monroe
62,202332,Cole Aldrich
63,202334,Ed Davis
64,202357,Nemanja Bjelica
65,202362,Lance Stephenson
66,202390,Gary Neal
67,202399,Jeff Adrien
68,202620,Arinze Onuaku
69,202710,Jimmy Butler
70,202962,Greg Smith
71,203085,Austin Rivers
72,203120,Justin Hamilton
73,203263,James Nunnally
74,203459,Allen Crabbe
75,203461,Anthony Bennett
76,203477,Isaiah Canaan
77,203485,Lorenzo Brown
78,203496,Robert Covington
79,203497,Rudy Gobert
80,203545,Miroslav Raduljica
81,203584,Troy Daniels
82,203710,C.J. Williams
83,203894,Shabazz Napier
84,203897,Zach LaVine
85,203922,Glenn Robinson III
86,203930,Sean Kilpatrick
87,203933,T.J. Warren
88,203937,Kyle Anderson
89,203940,Adreian Payne
90,203943,Noah Vonleh
91,203952,Andrew Wiggins
92,203967,Dario Saric
93,204014,Damjan Rudez
94,1626145,Tyus Jones
95,1626148,Anthony Brown
96,1626156,D'Angelo Russell
97,1626157,Karl-Anthony Towns
98,1626203,Treveon Graham
99,1627736,Malik Beasley
100,1627739,Kris Dunn
101,1627752,Taurean Prince
102,1627774,Jake Layman
103,1627823,Juancho Hernangomez
104,1627854,Bryn Forbes
105,1627875,Marcus Georges-Hunt
106,1628249,Mitchell Creek
107,1628382,Justin Jackson
108,1628383,Justin Patton
109,1628395,Jordan Bell
110,1628420,Monte Morris
111,1628518,Amile Jefferson
112,1628966,Keita Bates-Diop
113,1628972,Troy Brown Jr.
114,1628980,Jacob Evans
115,1629003,Shake Milton
116,1629006,Josh Okogie
117,1629020,Jarred Vanderbilt
118,1629103,Kelan Martin
119,1629123,Jared Terrell
120,1629162,Jordan McLaughlin
121,1629244,Cam Reynolds
122,1629633,Jarrett Culver
123,1629638,Nickeil Alexander-Walker
124,1629669,Jaylen Nowell
125,1629675,Naz Reid
126,1629730,Rayjon Tucker
127,1629735,Chris Silva
128,1630162,Anthony Edwards
129,1630183,Jaden McDaniels
130,1630195,Leandro Bolmaro
131,1630204,Ashton Hagans
132,1630227,Daishen Nix
133,1630233,Nathan Knight
134,1630346,Matt Ryan
135,1630568,Luka Garza
136,1630593,McKinley Wright IV
137,1630639,A.J. Lawson
138,1631111,Wendell Moore Jr.
139,1631159,Leonard Miller
140,1631169,Josh Minott
